dataset_id;geocat_id
ch.are.agglomerationsverkehr;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb
ch.are.alpenkonvention;8698bf0b-fceb-4f0f-989b-111e7c4af0a4
ch.are.bauzonen;055192b1-c378-4e66-8d43-c926f0be7980
ch.are.belastung-gueterverkehr-bahn;f254b380-3652-4a64-82f4-6cd42fd8f6cc
ch.are.belastung-gueterverkehr-strasse;8f35a393-5ee2-44b5-a68e-8d820e968054
ch.are.belastung-personenverkehr-bahn;6fa32c65-988d-4e09-8034-6c5abcbd4e3f
ch.are.belastung-personenverkehr-bahn_zukunft;8f947ac4-0334-4065-a55f-2563b39cd6ed
ch.are.belastung-personenverkehr-strasse;4540e0db-04c7-4509-b809-11542e7acba9
ch.are.belastung-personenverkehr-strasse_zukunft;5cd6d93e-3fbc-4ce9-b32b-136affb6baca
ch.are.erreichbarkeit-miv;f0835478-07fc-4e12-bf48-51646a59c809
ch.are.erreichbarkeit-oev;e3437f64-68e1-4b07-ae35-22597ca89cc2
ch.are.gemeindetypen;c967f055-9482-4bcb-a1bb-8de7971e7293
ch.are.gueteklassen_oev;61a79435-b986-495e-b3ea-fe97c4abd558
ch.are.landschaftstypen;27a33007-d187-41d9-97b7-6dc733a06e9b
ch.are.reisezeit-agglomerationen-miv;d23ebfb6-00a4-44d6-8463-4d34d57a5ff4
ch.are.reisezeit-agglomerationen-oev;333489d5-6ea1-468d-b1d5-bd213d9f1d0b
ch.are.reisezeit-miv;aee88d88-6fa6-445c-8d4d-5b40f592436b
ch.are.reisezeit-oev;b8193af2-bc91-4baa-92aa-64c6cbccb4a8
ch.are.windenergie-bundesinteressen;171a7520-27b2-4a60-9251-acf9b450d6b6
ch.are.wohnungsinventar-zweitwohnungsanteil;ed80ebde-99a0-4523-bc8a-4ec23426d966
ch.astra.baulinien-nationalstrassen;fce3b347-cc58-4b29-bb87-a35eed4487ea
ch.astra.hauptstrassennetz;c1333de6-fb91-4b0b-be95-8eab89b05358
ch.astra.ivs-gelaendekarte;c99e4a84-b340-4c83-ad3f-f5bcb15a1bf1
ch.astra.ivs-nat;70b6e2ac-c7ea-4699-a22e-65792aa3b0b9
ch.astra.ivs-nat_abgrenzungen;aab3c0bf-bfa3-48e0-84d7-1a7b86e04509
ch.astra.ivs-nat-verlaeufe;8c750eb5-d781-4b14-8dee-3d8943b04465
ch.astra.ivs-nat_wegbegleiter;3cf031e4-eef0-4c14-8bed-d132393dd4bc
ch.astra.ivs-reg_loc;f59f9e16-1f67-47bf-ade0-fcce715ce6fe
ch.astra.mountainbikeland;d4f1ebde-f999-4c56-b4a5-7ec8720a4052
ch.astra.mountainbikeland-sperrungen_umleitungen;fa5f0dfb-162f-4b83-828c-7b880ad5e972
ch.astra.nationalstrassenachsen;cc9bb928-851d-4ecd-8dd8-ba6abcad19a4
ch.astra.sachplan-infrastruktur-strasse_anhoerung;46c85a17-1248-46b9-bf9c-3a6c7415f74a
ch.astra.sachplan-infrastruktur-strasse_kraft;13780ac3-7340-454b-b721-fc4dd490d0fc
ch.astra.schwerverunfallte-kanton_alkohol;38ec4641-d068-49a0-bdd1-b2b11b6e6d4d
ch.astra.schwerverunfallte-kanton_geschwindigkeit;3a3ef559-8bd1-4681-b544-5a53b14bbde2
ch.astra.schwerverunfallte-kanton_jahresvergleich;164f5ce7-4870-431b-9807-242dff20b844
ch.astra.schwerverunfallte-kanton_pro_einwohner;3244a0b1-9589-43bb-b808-359c4aa13953
ch.astra.skatingland;deeb1f0f-ea25-46f0-977a-6ae1031cc55b
ch.astra.skatingland-sperrungen_umleitungen;e943182a-0126-4cfa-a02d-090dbe89e88e
ch.astra.strassenverkehrszaehlung_messstellen-regional_lokal;46d802a1-ee53-4e3a-8af6-77b322e62bf1
ch.astra.strassenverkehrszaehlung_messstellen-uebergeordnet;56b6461f-1046-412c-9e70-06fb433f0dbf
ch.astra.strassenverkehrszaehlung-uebergeordnet;4ae9023e-bba8-4807-ab5c-de97c7ee0af9
ch.astra.unfaelle-personenschaeden_alle;a76e370a-eb4c-409b-bf10-5dbda021528e
ch.astra.unfaelle-personenschaeden_fahrraeder;b3f51682-cb44-46ce-b215-ac5b5f996286
ch.astra.unfaelle-personenschaeden_fussgaenger;578457c1-debb-41b9-8f2c-18d33148cfa5
ch.astra.unfaelle-personenschaeden_getoetete;7ef105ec-9192-4029-abb6-7112f0f4187b
ch.astra.unfaelle-personenschaeden_motorraeder;2e3c55c6-b8cf-4822-bdd4-2fd368697c93
ch.astra.veloland;16d16fa3-a416-4e8b-99fc-69c7267f134d
ch.astra.veloland-sperrungen_umleitungen;c1293eab-eeb0-45a5-b79f-0909129c7e5a
ch.astra.wanderland;95638869-ef86-4e95-ae60-20e84e8dca8c
ch.astra.wanderland-sperrungen_umleitungen;b440815a-07e5-48db-959d-cb2ca4458f3a
ch.babs.kulturgueter;c1a6591c-31a8-416a-a871-666eeeb7dc91
ch.bafu.alpweiden-herdenschutzhunde;88ec92d4-409f-40ee-9c46-83aa4fb992aa
ch.bafu.amphibienwanderung-verkehrskonflikte;8dc1e2a5-eab0-467a-a570-d994830f8340
ch.bafu.aquaprotect_050;e7f4931d-2010-4ab2-b4ef-edbc47074ca9
ch.bafu.aquaprotect_100;a71453bf-e515-4f70-98cc-c939510dd4b1
ch.bafu.aquaprotect_250;a889473d-cbe4-454c-838b-aac6b174e46e
ch.bafu.aquaprotect_500;7609e210-80c7-4acc-b7b4-b569f0e5679e
ch.bafu.auen-ausserhalb_bundesinventar;feff7d50-4917-40d0-bcbe-675680d4aa0e
ch.bafu.auen-ausserhalb_bundesinventar_alpin;ecee1c92-9d66-41c7-af14-900902f54527
ch.bafu.auen-vegetationskarten;ab76361f-657d-4705-9053-95f89ecab126
ch.bafu.biogeographische_regionen;fc110d43-cfbc-4029-a73c-f24bd67c9689
ch.bafu.bundesinventare-amphibien;1b48774e-1047-4e8f-b743-769a2b3901cb
ch.bafu.bundesinventare-amphibien_anhang4;2a701f93-3bd3-4068-a6a8-59d7383a3b30
ch.bafu.bundesinventare-amphibien_wanderobjekte;36a55486-04be-4533-9936-9c05407114a1
ch.bafu.bundesinventare-auen;d47dffc7-8072-40c2-bbf7-4fb47367bd29
ch.bafu.bundesinventare-auen_anhang2;5b5b3700-245d-4c15-aabb-5fb177860db5
ch.bafu.bundesinventare-auen_vegetation_alpin;24ff96e5-0cda-485b-9ec0-365960a11190
ch.bafu.bundesinventare-bln;bc3f1564-1e56-44e9-98b6-f0d8c5130410
ch.bafu.bundesinventare-flachmoore;c98723f6-4c76-480b-bada-c8a5ce3d20d8
ch.bafu.bundesinventare-hochmoore;2ce98519-dd40-4cc1-bd95-8f4234d78492
ch.bafu.bundesinventare-jagdbanngebiete;200a2d0e-afe1-45d8-aeaf-ea3621cc6afe
ch.bafu.bundesinventare-moorlandschaften;7ed73e2f-0a41-4e8b-a7ff-413f2d9b5ece
ch.bafu.bundesinventare-trockenwiesen_trockenweiden;8fa24249-1ad0-48d3-a879-6ba6893db1d7
ch.bafu.bundesinventare-trockenwiesen_trockenweiden_anhang2;9391d96a-280b-4e7b-bcc7-7836007b30f1
ch.bafu.bundesinventare-vogelreservate;8fc6f748-80ce-47b2-8d49-b05a0c8ba975
ch.bafu.erosion-gruenland_bodenabtrag_apr;6007a86c-7e1d-4f3c-a7d9-4eae01cac9c0
ch.bafu.erosion-gruenland_bodenabtrag_aug;6672872c-a579-42e1-b7d4-35d706b61cfb
ch.bafu.erosion-gruenland_bodenabtrag_dez;b7a8ae3e-5ce7-429e-9783-4c4cd02481b9
ch.bafu.erosion-gruenland_bodenabtrag_feb;2ed54e2b-e0da-406b-a7d0-5b0fbcd7f62b
ch.bafu.erosion-gruenland_bodenabtrag_jan;86e14673-a4f0-49c1-8945-27b5c9134fea
ch.bafu.erosion-gruenland_bodenabtrag_jul;05ab7dfa-9155-4575-a0a3-fdffd52f05d3
ch.bafu.erosion-gruenland_bodenabtrag_jun;3d738c4e-26d1-4688-9d4d-3c405214bf77
ch.bafu.erosion-gruenland_bodenabtrag_mai;8162b6fe-e9e4-4864-9f17-72e372a5f55a
ch.bafu.erosion-gruenland_bodenabtrag_mrz;7225cd4b-363a-44a0-822c-9c37e0a6930b
ch.bafu.erosion-gruenland_bodenabtrag_nov;7681e749-7e18-4304-ba20-c9ca757a8794
ch.bafu.erosion-gruenland_bodenabtrag_okt;256be392-6fa9-4595-b0a3-9390c039bb80
ch.bafu.erosion-gruenland_bodenabtrag_sep;4dc18e2d-e3e4-415b-b141-2c61feb1da52
ch.bafu.fauna-steinbockkolonien;9c762bb5-4d8c-4174-9b77-95e85b962439
ch.bafu.fauna-vernetzungsachsen_national;6241112d-25c1-48bb-a6bf-c8b98805b5fc
ch.bafu.fauna-wildtierkorridor_national;df8e620a-6f8a-41f8-85fb-394d6ceda8a0
ch.bafu.feststoffe-geschiebemessnetz;05ba053f-60ca-492b-a1f5-bd70f6de8761
ch.bafu.fischerei-aeschen_kernzonen;befea12b-b27b-40dd-920d-9c4d2eafc7fb
ch.bafu.fischerei-aeschen_laichplaetze;53c8a8bb-67ab-4525-8b64-011079e63294
ch.bafu.fischerei-aeschen_larvenhabitate;30c248d4-46c6-4afc-a949-d26623c8b0e6
ch.bafu.fischerei-aeschen_verbreitungsgebiet;ea67adf4-0f51-4f9a-ae5d-35d950f35d76
ch.bafu.fischerei-krebspest;722d70aa-8404-47ca-ae5d-1e521e4229e9
ch.bafu.fischerei-nasenlaichplaetze;d8730e9f-fdd3-41aa-91c2-cdde00176fdd
ch.bafu.fischerei-proliferative_nierenkrankheit;c653e1b5-4e2c-4ecf-ac11-008cf4b5a209
ch.bafu.flora-schwingrasen;a46d05f2-036f-4ddb-8583-c6822fe9246b
ch.bafu.flora-verbreitungskarten;5030c188-ef5c-48d6-aa06-330b7744547e
ch.bafu.flora-weltensutter_atlas;09e50e6f-67ec-4892-b993-94686b0d9739
ch.bafu.flussordnungszahlen-strahler;e8b4794c-7045-4970-85eb-6caba4384976
ch.bafu.gefaehrdungskarte-oberflaechenabfluss;6b59f9ee-9e5f-4b12-86cf-f8afb539ae5d
ch.bafu.gefahren-aktuelle_erdbeben;85b7cf2d-0feb-4e75-81d7-9e245ec4bf24
ch.bafu.gefahren-baugrundklassen;812485e6-821c-412d-8504-459c6b314d1c
ch.bafu.gefahren-gefaehrdungszonen;239a4b60-9478-4120-87d9-5671c4516269
ch.bafu.gefahren-historische_erdbeben;3d1d7649-8c27-435c-ae74-7c0f2e3fbcf1
ch.bafu.gefahren-spektral;a869c0d0-ff03-4cbf-93e8-c568f01bf9bc
ch.bafu.gewaesserschutz-badewasserqualitaet;5601eb96-45cb-40a4-a595-2ec0ebda8e8c
ch.bafu.gewaesserschutz-biologischer_zustand_diatomeen;04193332-3a11-4fa6-bdc0-1bee0deb4bc1
ch.bafu.gewaesserschutz-biologischer_zustand_fische;16a81f2f-c2ce-4f6b-adf5-60c9a246819e
ch.bafu.gewaesserschutz-biologischer_zustand_makrophyten;0ecdff3c-29b0-4556-a641-2e95d54cd406
ch.bafu.gewaesserschutz-biologischer_zustand_makrozoobenthos;b0b3a9f3-0a3f-4177-ba89-ad21c8b39a10
ch.bafu.gewaesserschutz-chemischer_zustand_ammonium;35fe15e6-ea42-467e-928c-ce2b75512972
ch.bafu.gewaesserschutz-chemischer_zustand_doc;7ecace17-ab1a-4629-b80c-cb8599e8d07b
ch.bafu.gewaesserschutz-chemischer_zustand_nitrat;e1a5a3ea-483e-4ccc-968e-0026d7df5e61
ch.bafu.gewaesserschutz-chemischer_zustand_nitrit;cbe62982-11ff-46c1-9264-4b3bb67a7743
ch.bafu.gewaesserschutz-chemischer_zustand_phosphat;4c2c25da-35fe-40a8-97be-feb29051a170
ch.bafu.gewaesserschutz-chemischer_zustand_phosphor_gesamt;359e590e-4c29-494a-80ba-182a9682173c
ch.bafu.gewaesserschutz-diffuse_eintraege_phosphor;9c4bf1ae-ee0a-491c-9ce3-156a3001a954
ch.bafu.gewaesserschutz-diffuse_eintraege_stickstoff;9b7dc233-813b-490b-b13c-3b3ab787e11f
ch.bafu.gewaesserschutz-klaeranlagen_anteilq347;4e8a2a6b-9ede-4107-9b50-6e9af7389144
ch.bafu.gewaesserschutz-klaeranlagen_ausbaugroesse;5e06e47a-8d78-440f-b98e-e46cfa52c474
ch.bafu.gewaesserschutz-klaeranlagen_reinigungstyp;c80d9b2e-522e-45cb-a587-c5fe028d63df
ch.bafu.grundwasserkoerper;2bd1ab86-83ec-4c3e-b937-ab81b4968bc6
ch.bafu.hydrogeologie-markierversuche;fedac2fe-5f2b-4b4f-a21d-3c9fc216c496
ch.bafu.hydrogeologie-uebersichtskarte;e238580b-a03d-45c2-9ea6-f6634ff9c64c
ch.bafu.hydrogeologische-karte_100;b01523a1-9f61-43a2-95cb-be843cc1b18a
ch.bafu.hydrologie-daueruntersuchung_fliessgewaesser;89a644dc-b73d-4d01-b72e-8feefc8f4bf7
ch.bafu.hydrologie-gewaesserzustandsmessstationen;f48022fc-52a9-4303-95c7-18f5096f1a00
ch.bafu.hydrologie-hochwassergrenzwertpegel;36bcd44f-fd6e-49cd-a220-a6e9f386028e
ch.bafu.hydrologie-hochwasserstatistik;74936192-7935-4686-86ad-c7c795d31b44
ch.bafu.hydrologie-hydromessstationen;bd377507-c61d-4fe2-bf81-9605b405d8ad
ch.bafu.hydrologie-messstationen_gefahren;acca4141-17e4-46a2-8bc8-f4456fb2d822
ch.bafu.hydrologie-niedrigwasserstatistik;5cfc8b95-c901-44b9-baa3-b768a5edb647
ch.bafu.hydrologie-q347;83e6752a-e668-4ade-9ad5-fd9d555d35da
ch.bafu.hydrologie-untersuchungsgebiete;eb6b589d-1184-441f-84cf-d4fa6ac46a38
ch.bafu.hydrologie-untersuchungsgebiete_stationen;9ce0ce29-35b2-4fdd-bfc8-247e189dca8f
ch.bafu.hydrologie-wassertemperaturmessstationen;4f10c35a-8fac-4000-ab6d-7a294284059a
ch.bafu.hydrologischer-atlas_basisgebiete;f9e7ce17-3622-4ae4-8cbb-067011d5eed5
ch.bafu.hydrologischer-atlas_bilanzgebiete;52d0c066-65dd-4dd1-ac94-2b34f83a9bd6
ch.bafu.hydrologischer-atlas_flussgebiete;edff6d33-ba8c-441e-b8bd-7ab4969d4440
ch.bafu.hydrologischer-atlas_kantonale-messstationen;48143f81-0076-463f-a71d-b888cc7fe01b
ch.bafu.hydroweb-messstationen_gefahren;7c64e2fa-1afe-41f4-9f91-ed251079965c
ch.bafu.hydroweb-messstationen_grundwasser;6146dc21-18b6-4d94-8865-8c2b99256e1b
ch.bafu.hydroweb-messstationen_grundwasserzustand;f87d692e-8d65-4188-94ba-61b4c61d621c
ch.bafu.hydroweb-messstationen_temperatur;eb9d3cc1-0c04-4cda-9f21-7742b8376be7
ch.bafu.hydroweb-messstationen_vorhersage;6655ccdb-fb9b-4049-8bf5-4d5a0b3bfe4f
ch.bafu.hydroweb-messstationen_zustand;b034fd62-6405-44a7-969a-e1f5ebe873ee
ch.bafu.hydroweb-warnkarte_national;e1d0c17a-0dbd-4455-bc83-1606e1e04298
ch.bafu.hydroweb-warnkarte_regional;a81982a8-ab5f-41ae-8ce8-3fa524dfe963
ch.bafu.karst-ausdehnung_grundwasservorkommen;4ea295bb-a098-492b-84f8-e7687737fb35
ch.bafu.karst-einzugsgebiete;01811bd5-7f55-4c89-92f2-78fcd379affa
ch.bafu.karst-einzugsgebietseinheiten;fa918831-97d1-4486-a348-c891f4e900ad
ch.bafu.karst-quellen_schwinden;1786c0cc-8aac-44b1-880c-aa627de09c1e
ch.bafu.karst-unterirdische_fliesswege;7db32f1d-691d-4d2d-a842-ee188210acf6
ch.bafu.laerm-bahnlaerm_nacht;93814e81-2466-4690-b54d-c1d958f1c3b8
ch.bafu.laerm-bahnlaerm_tag;c335f61e-1e94-4a59-b0e7-94bb158f5a48
ch.bafu.laerm-strassenlaerm_nacht;89a0b0bc-10ff-4e3e-a4e4-36d081e2e672
ch.bafu.laerm-strassenlaerm_tag;87f3f029-4685-4d51-9de2-2a409b32aff5
ch.bafu.landesforstinventar-produktionsregionen;3cc48f49-5641-4bd9-a5a9-22ab01063147
ch.bafu.landesforstinventar-schutzwaldregionen;3f0550c4-bbfa-4fcd-89ba-217e26b20b71
ch.bafu.landesforstinventar-vegetationshoehenmodell;8b7c23ef-88a4-47d6-87dc-6f5b5d91928c
ch.bafu.landesforstinventar-waldmischungsgrad;b07a4589-159b-4c3a-b1e7-dbdad11f7e62
ch.bafu.landesforstinventar-wirtschaftsregionen;5a1886a3-b107-4794-8784-3077e67dc568
ch.bafu.luftreinhaltung-ammoniakkonzentration;47b30108-d19e-4ac1-ab93-cba6a777003b
ch.bafu.luftreinhaltung-stickstoffdeposition;e96fe990-b20e-489e-b213-dc8c1fa6e255
ch.bafu.luftreinhaltung-stickstoff_kritischer_eintrag;95e73bc3-da75-4356-9b04-2cc7c3b1cec9
ch.bafu.mittlere-abfluesse;75c48c9d-34ec-4a11-bdd8-6dc019f0ec9e
ch.bafu.mittlere-abfluesse_zukunft;144e7781-cfff-404c-ae9c-474525ed9a1f
ch.bafu.moose;07b046a7-1b21-4cd0-b605-a113f2e5e94d
ch.bafu.nabelstationen;14de1375-09ae-42b4-9592-5f0af091d050
ch.bafu.naqua-grundwasser_nitrat;ea282e54-364b-4023-87c1-cdccbac295b1
ch.bafu.naqua-grundwasser_voc;c5f01eb1-d755-4450-bc4f-3871589de62f
ch.bafu.neophyten-amerikanische_kermesbeere;6b47b850-b095-4a7b-9c5c-b116dca99a11
ch.bafu.neophyten-amerikanischer_stinktierkohl;7401635a-ad22-473a-a9b8-17165f6c814e
ch.bafu.neophyten-armenische_brombeere;c02da032-7b8e-4342-b227-a596455dd8b7
ch.bafu.neophyten-aufrechtes_traubenkraut;2a65e6b4-2b76-4fb6-91c1-ad890cb0a906
ch.bafu.neophyten-auslaeuferbildendes_fettkraut;d13289ba-96c2-456f-affb-02a3069bb505
ch.bafu.neophyten-balfours_springkraut;97baf479-04bc-4cdc-ad4a-e1e01553df68
ch.bafu.neophyten-bastardindigo;6ec3f114-b0fe-4bc0-8100-554ccc29ca83
ch.bafu.neophyten-bastard_staudenknoeterich;4e7b2bb9-7456-4a4c-b525-5fedc6665277
ch.bafu.neophyten-besen_radmelde;717a8bc4-e8da-4f7d-a4a0-36d06b638182
ch.bafu.neophyten-blauglockenbaum;eb65c909-1278-43aa-962a-e048ee1863ce
ch.bafu.neophyten-brasilianisches_tausendblatt;2ce40229-35b5-4374-9346-ac4b1ce6d374
ch.bafu.neophyten-carolina_nachtschatten;93a43591-f202-440f-88bf-4e77f654666b
ch.bafu.neophyten-chinesische_samtpappel;3f58eb56-10ef-4170-ba7c-0e9a9b780751
ch.bafu.neophyten-druesiges_springkraut;8b98dde1-c413-4ceb-9477-470b36ca9dfe
ch.bafu.neophyten-einjaehriges_berufkraut;351e94e5-d72c-45d2-8170-400902a46d42
ch.bafu.neophyten-essbare_kermesbeere;acd81477-68ac-4136-866e-ed394d601d4c
ch.bafu.neophyten-essbares_zypergras;b75b0103-9433-4bf5-bbc3-e5f5c127b5d4
ch.bafu.neophyten-essigbaum;1baf4c76-c7a8-4d33-bd53-563c2ffbe432
ch.bafu.neophyten-felsen_greiskraut;e0dcb004-bfd3-454d-a60e-f61a6b5b0b1e
ch.bafu.neophyten-fortunes_hanfpalme;46a2cd84-82af-4c34-b45c-881cd3fc0491
ch.bafu.neophyten-gestreiftes_suessgras;bb03e246-e1e0-4a05-a20c-c004047ab871
ch.bafu.neophyten-gewoehnliche_jungfernrebe;a12187bd-a0dc-4e8a-9884-4b4e9611eb91
ch.bafu.neophyten-glattes_zackenschoetchen;ceee155b-d191-4e73-8f51-4419d227b9a6
ch.bafu.neophyten-goetterbaum;3e6ea819-319c-4f72-bc3f-7e9a2bea6d24
ch.bafu.neophyten-grossbluetiges_heusenkraut;07c2d5f7-f908-4067-9db3-a43aa95f28e1
ch.bafu.neophyten-grosser_wassernabel;208f375a-9bd6-4f1a-9228-8c200f0e4bbb
ch.bafu.neophyten-haargurke;ffdd90e3-55a6-4924-bf64-b9904f5d2437
ch.bafu.neophyten-henrys_geissblatt;011f2b38-a7e3-49c9-a40f-99d5f0548928
ch.bafu.neophyten-herbst_traubenkirsche;e3935c69-5dbd-4196-9197-0f725d557845
ch.bafu.neophyten-igelgurke;fd69e7f3-22f7-4497-bb1f-4d21c892d9b2
ch.bafu.neophyten-japanischer_staudenknoeterich;80daeffb-34ec-4c35-8b6c-b34bda79a3db
ch.bafu.neophyten-japanisches_geissblatt;a5bd8033-8457-486b-b099-2e6f3f7864a8
ch.bafu.neophyten-kanadische_goldrute;ef8df535-27b5-4031-a967-9e9b93befd8f
ch.bafu.neophyten-kanadische_wasserpest;ae20bec0-b123-41a3-b508-02d6c1303595
ch.bafu.neophyten-karolina_haarnixe;dc375985-e3c2-4d7e-a3c3-f13b91ef4a68
ch.bafu.neophyten-kaukasus_fettkraut;d628a1a7-bd94-4789-906c-99b8abd06c45
ch.bafu.neophyten-kirschlorbeer;1b6ad787-5f95-42b4-8340-e62179de313e
ch.bafu.neophyten-kletternder_giftsumach;cdabe2f9-7688-42a2-8c8c-d4f8b2a42fc7
ch.bafu.neophyten-kopoubohne;c6be015b-c317-4f08-8f0b-72703e29377e
ch.bafu.neophyten-mahonie;aac71816-fe8f-4621-aa32-fb51444edfdf
ch.bafu.neophyten-nadelkraut;3a4b34cb-354c-44ba-87df-ca8dbe7c2e20
ch.bafu.neophyten-nuttalls_wasserpest;d4de71b5-a275-4475-b3e9-dc35e2aba4cf
ch.bafu.neophyten-portulak_heusenkraut;01a84c21-44b3-4bd4-be2b-e6def443a08f
ch.bafu.neophyten-riesenbaerenklau;98b43c26-0f11-4c58-af85-b007712b17b0
ch.bafu.neophyten-robinie;b5012ebd-8eef-46ef-b0e1-b9a848f10dbc
ch.bafu.neophyten-runzelblaettriger_schneeball;c128b3e5-6620-41f0-a8f7-3cb7dd228f99
ch.bafu.neophyten-sachalin_staudenknoeterich;ae7db8c9-3bb8-43ca-a5d1-99de05cd8d32
ch.bafu.neophyten-schmetterlingsstrauch;b0658eec-d604-4490-910c-e7117c0444bb
ch.bafu.neophyten-seidiger_hornstrauch;93c4e4a5-dc4d-40bc-9a79-728f133abcbb
ch.bafu.neophyten-spaetbluehende_goldrute;407f5593-f5a3-497d-a5fa-97354027085c
ch.bafu.neophyten-suedafrikanisches_greiskraut;a7579e76-c854-431b-ab03-6e773c2da82e
ch.bafu.neophyten-syrische_seidenpflanze;c0858914-d721-42a3-b856-a3b786d99762
ch.bafu.neophyten-topinambur;3d459271-5d29-4454-b416-3cdcc15bff7f
ch.bafu.neophyten-verlotscher_beifuss;9c64b6c9-57a6-4da6-b46c-df7f5fb4706e
ch.bafu.neophyten-vielaehriger_knoeterich;e125626e-bd88-4401-94f7-b41f7f09b835
ch.bafu.neophyten-vielblaettrige_lupine;e3af5881-4a91-42aa-bec8-ba759279f3f1
ch.bafu.niederschlagserosivitaet-apr;42bdfe82-dd78-466c-acc5-146ac9651bb3
ch.bafu.niederschlagserosivitaet-aug;389736f8-514d-4c68-8a9b-1533b97c0dd6
ch.bafu.niederschlagserosivitaet-dez;aa833371-8fed-4cb6-bb1d-6053e8838021
ch.bafu.niederschlagserosivitaet-feb;053bcacc-0ae4-4e03-9a79-9e0ecb56cd77
ch.bafu.niederschlagserosivitaet-jan;ca83b114-938b-4f52-8556-eb2844b4b00c
ch.bafu.niederschlagserosivitaet-jul;7fd70db8-3128-4734-99ac-b1cf46cfcad8
ch.bafu.niederschlagserosivitaet-jun;1c8c4639-c783-4f76-954d-d0f82e07ed28
ch.bafu.niederschlagserosivitaet-mai;a554eed4-2a20-4d7e-a2ee-cc29832f4c46
ch.bafu.niederschlagserosivitaet-mrz;c91931dd-73a0-47d0-aef2-7939625fa3b3
ch.bafu.niederschlagserosivitaet-nov;d7470deb-cc45-404d-8977-85fbee610217
ch.bafu.niederschlagserosivitaet-okt;73d7de96-ba8c-4b89-946a-97733df8f4f9
ch.bafu.niederschlagserosivitaet-sep;5eda53ff-5566-4a22-964c-7855583f6a81
ch.bafu.oekomorphologie-f_abschnitte;ea12e280-75cf-4b71-90f0-d2bcc9d7fdfa
ch.bafu.oekomorphologie-f_abstuerze;1ec44d95-573a-489c-9a57-7bc278cc6792
ch.bafu.oekomorphologie-f_bauwerke;5742b03b-d567-4acb-a84d-a3069faaa396
ch.bafu.permafrost;71d087ef-6531-4131-98ea-88ff655d8a63
ch.bafu.ren-extensive_landwirtschaftsgebiete;d60ff6a8-4b80-4535-aa89-cfad26916b80
ch.bafu.ren-feuchtgebiete;8bc1565a-023e-490c-9526-fa04a14169ab
ch.bafu.ren-fliessgewaesser_seen;32dfd304-28de-4e82-ad8d-8d6cb6b5fe83
ch.bafu.ren-trockenstandorte;b5f7374b-2f4b-4d28-a23c-eb2d2a64b579
ch.bafu.ren-wald;a193df6d-071c-4a1d-bb64-0921cc916f2f
ch.bafu.schutzgebiete-aulav_auen;54d007ed-2ab9-4cb3-9b41-b3c74a519eae
ch.bafu.schutzgebiete-aulav_jagdbanngebiete;e3cf990a-23d5-4876-b279-206f9eb5f4c9
ch.bafu.schutzgebiete-aulav_moorlandschaften;947f9c40-eef0-497a-90f2-9acf59a25f0c
ch.bafu.schutzgebiete-aulav_uebrige;3e13af56-e32b-4092-a6eb-2adb6d3967cb
ch.bafu.schutzgebiete-biosphaerenreservate;c212a19c-6e06-4ca4-bdee-3ec62ccd7b1e
ch.bafu.schutzgebiete-luftfahrt;c3f513a7-f860-4894-a139-6218a9697519
ch.bafu.schutzgebiete-paerke_nationaler_bedeutung;b1fb8e29-8387-4081-9976-022ff925823b
ch.bafu.schutzgebiete-paerke_nationaler_bedeutung_perimeter;bc4bd921-cec6-4f29-a784-29049c9f8026
ch.bafu.schutzgebiete-ramsar;d960a5c8-44e4-4d10-a9f6-95f58568563c
ch.bafu.schutzgebiete-schweizerischer_nationalpark;d1359dad-6edf-4275-ada0-2e33be8945b2
ch.bafu.schutzgebiete-smaragd;d31b13f3-f68f-4432-a1f8-5344046c2dd2
ch.bafu.schutzgebiete-wildruhezonen;35f25047-ea29-4422-9497-3dac46e00eb9
ch.bafu.silvaprotect-hangmuren;e1f63878-1ddd-4a51-9d3b-f0f077990357
